SKU,Description,total_qty,total_revenue,avg_price,n_transactions,cum_value,cum_perc,ABC
43832,3 Blind Moose Pnt Grigio Cal,80,843.2,10.39,50,32171643.34000001,0.9707981233342076,C
19814,Rodney Strong Charlottes Svg,51,842.4899999999999,16.60111111111111,36,32172485.83000001,0.9708235459619012,C
14810,Primaterra Prosecco,58,841.42,14.52125,32,32173327.25000001,0.9708489363017202,C
24888,Armand de Brignac Brut Rose,2,839.98,419.99,2,32174167.23000001,0.9708742831886984,C
7890,Barrow's Intense Ginger,28,839.7199999999999,29.99,20,32175006.95000001,0.9708996222300246,C
2855,Master's London Dry Gin,28,839.7199999999999,29.99,16,32175846.67000001,0.9709249612713509,C
1505,Cleveland Christmas Bourbon,30,839.7,27.990000000000002,13,32176686.37000001,0.9709502997091654,C
14209,Dierberg Santa Maria Chard,35,839.65,23.99,23,32177526.020000007,0.9709756366382007,C
16824,Adissat Lirac,42,839.5799999999999,19.990000000000002,26,32178365.600000005,0.9710009714549452,C
7284,Colombo Marsala Dry,84,839.16,9.99,68,32179204.760000005,0.9710262935979445,C
6241,Sutter Home Chard,140,838.5999999999999,5.99,30,32180043.360000007,0.9710515988426168,C
21321,Rex Goliath Red Sangria,139,836.61,6.026697247706422,109,32180879.970000006,0.9710768440378771,C
23452,Santa Rita Secret Rsv Red,93,836.07,8.99,55,32181716.040000007,0.9711020729383221,C
484,Absolut Mango,38,835.6200000000001,21.99,5,32182551.660000008,0.9711272882597543,C
19648,Dachshund Rsl,56,835.44,14.89909090909091,44,32183387.10000001,0.9711524981495815,C
6505,Lucano Limencello,76,835.24,10.99,44,32184222.340000007,0.9711777020042918,C
20650,Sho Chiku Bai Takara Sake,10,834.9,83.49,4,32185057.240000006,0.9712028955993035,C
21795,Canyon Rd Cab Svgn,174,833.4599999999999,4.79,12,32185890.700000007,0.9712280457414745,C
14620,Bodega Elena de Mendoza Mlbc,119,831.8100000000001,6.99,55,32186722.510000005,0.9712531460939319,C
2929,Dark Corner Moonshine,32,831.6800000000001,25.99,8,32187554.190000005,0.9712782425235634,C
17921,Raymond R Field Blend Lot 7,64,831.36,12.99,37,32188385.550000004,0.9713033292970081,C
22943,D'Armailhac Pauillac 05,3,830.97,276.99,2,32189216.520000003,0.9713284043019751,C
39473,Acorn Cve Alegria Russ Syrah,28,830.72,29.171818181818182,11,32190047.240000002,0.9713534717630461,C
16537,Root 1 Pnt Nr,70,829.3,11.891960784313726,51,32190876.540000003,0.971378496374788,C
847,Glenfiddich 12 Year Old Sco,18,827.82,45.99,16,32191704.360000003,0.9714034763266657,C
38889,Justin Justification Paso R,18,827.82,45.99,13,32192532.180000003,0.9714284562785434,C
5549,Don Ramon Reposado Tequila,22,827.7800000000001,37.56142857142858,21,32193359.960000005,0.9714534350233976,C
10591,J Lohr Fogs Ranch Pnt Nr,30,827.6999999999999,27.1478947368421,19,32194187.660000004,0.9714784113542052,C
35490,Sierra Cantabria Rioja Tint,69,827.3100000000001,11.99,40,32195014.970000003,0.971503375916535,C
13933,Canyon Rd Pnt Grigio,92,827.0799999999999,8.99,19,32195842.05,0.9715283335384806,C
19249,Educated Guess Chard,49,826.51,16.878888888888888,36,32196668.560000002,0.9715532739603434,C
11310,Beaulieu Tapestry 05 Rsv,14,825.86,58.99,11,32197494.42,0.9715781947680765,C
5126,Marzadro Le Diciotto Lune,15,824.85,54.989999999999995,5,32198319.270000003,0.97160308509847,C
15079,Anna de Codorniu Brut Cava,64,824.36,12.928775510204082,49,32199143.630000003,0.9716279606428273,C
23951,Ch Moulin de Pillardot 10,75,824.25,10.99,24,32199967.880000003,0.9716528328678704,C
11200,Palagetto Vernaccia Gimigano,55,822.45,14.9275,32,32200790.330000002,0.9716776507768624,C
21369,Kendall Jackson Grand Pnt Nr,34,820.66,24.031666666666666,24,32201610.990000002,0.9717024146715593,C
4921,Twenty Grand Cognac,41,819.5899999999999,19.99,29,32202430.580000002,0.9717271462783812,C
23948,Ch La Croix Lartigue 09,21,818.79,38.99,12,32203249.37,0.9717518537447362,C
15761,Cantine Maschio Prosecco Brt,216,818.64,3.79,9,32204068.01,0.9717765566847535,C
18741,Ca'Momi Pinot Noir Napa Vall,46,818.54,17.818571428571428,35,32204886.55,0.9718012566072123,C
35380,Liberty School Chard Cntrl C,63,818.37,12.99,50,32205704.92,0.971825951399822,C
15900,Ch St Jean Svgn Bl Sonoma,61,817.39,13.21857142857143,35,32206522.310000002,0.9718506166203594,C
7211,Cocktail Time Strawberry Rtd,70,816.3,11.801320754716981,53,32207338.610000003,0.9718752489495104,C
21731,Ch Moulin de la Rose St-Juln,12,815.88,67.99,5,32208154.490000002,0.9718998686049161,C
